id;name;email;country;age;score
1;Blgxz;blgxz@demo.net;France;43;78.58
2;Nzguf;nzguf@example.com;Spain;57;60.75
3;Ccblggqao;ccblggqao@example.com;Germany;49;89.61
4;Fbgmyogv;fbgmyogv@demo.net;India;42;40.33
5;Zrpeje;zrpeje@test.org;Canada;45;25.83
6;Shdlbif;shdlbif@mail.com;Canada;27;57.78
7;Quihscwa;quihscwa@example.com;Spain;30;96.81
8;Zeyypo;zeyypo@example.com;Australia;26;28.49
9;Qsdmdm;qsdmdm@example.com;Japan;54;3.47
10;Luiqnj;luiqnj@demo.net;Spain;47;75.31
11;Pnvbroj;pnvbroj@demo.net;Canada;48;61.31
12;Cyduwomkj;cyduwomkj@test.org;India;63;27.9
13;Awaws;awaws@mail.com;Canada;57;70.65
14;Cgjqpb;cgjqpb@demo.net;Brazil;39;46.84
15;Jfnylvk;jfnylvk@mail.com;France;44;33.29
16;Uxintx;uxintx@demo.net;India;61;49.42
17;Catfiv;catfiv@example.com;India;39;11.54
18;Pkomt;pkomt@demo.net;Spain;49;33.99
19;Aurefey;aurefey@test.org;Japan;58;44.35
20;Vqzgqemhq;vqzgqemhq@example.com;Canada;53;84.75
21;Zyygcx;zyygcx@example.com;India;18;59.07
22;Jtfdcvgv;jtfdcvgv@test.org;Brazil;33;0.86
23;Tgojdkmqj;tgojdkmqj@demo.net;Brazil;31;12.32
24;Vjedfitfg;vjedfitfg@example.com;Brazil;38;15.65
25;Nnqded;nnqded@demo.net;Germany;30;11.97
26;Zvnijdaz;zvnijdaz@test.org;Canada;59;59.84
27;Nwxcao;nwxcao@demo.net;Germany;24;5.89
28;Snoisb;snoisb@demo.net;Japan;41;16.2
29;Oktki;oktki@example.com;Japan;53;17.7
30;Ifrvix;ifrvix@mail.com;Brazil;57;80.84
